"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,676,061,935,180","0.54%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$2,252,283,580,964","0.78%","USA","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,847,288,133,018","0.00%","USA","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,847,288,133,018","0.00%","USA","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$1,641,028,310,694","0.00%","USA","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$909,251,354,352","0.00%","USA","Analyze"
"BRK.B","Berkshire Hathaway Inc. Class B","Common stocks","Large cap","Financials","$756,230,125,495","0.00%","USA","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$661,325,000,000","0.06%","USA","Analyze"
"FB","Facebook Inc Class A","Common stocks","Large cap","Communication Services","$617,862,487,711","0.00%","USA","Analyze"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$482,918,440,000","0.63%","USA","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$476,207,875,774","1.14%","USA","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$459,701,244,745","2.40%","USA","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$413,688,536,697","2.69%","USA","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$403,432,882,932","1.51%","USA","Analyze"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$363,355,165,023","2.30%","USA","Analyze"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$355,814,057,171","2.00%","USA","Analyze"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$345,982,273,065","1.87%","USA","Analyze"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$339,492,584,901","0.52%","USA","Analyze"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$333,056,716,389","4.37%","USA","Analyze"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$314,977,802,649","3.31%","USA","Analyze"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$307,860,185,815","2.85%","USA","Analyze"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$281,585,609,577","3.28%","USA","Analyze"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$273,933,127,323","1.22%","USA","Analyze"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$260,533,194,692","2.80%","USA","Analyze"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$255,434,867,142","0.00%","USA","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$248,803,955,192","0.56%","USA","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$247,544,956,183","2.43%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$232,508,782,960","2.62%","USA","Analyze"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$230,447,159,789","0.18%","USA","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$225,082,072,591","2.62%","USA","Analyze"
"ORCL","Oracle Corp","Common stocks","Large cap","Information Technology","$217,935,063,760","1.56%","USA","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$216,612,000,000","0.00%","USA","Analyze"
